日期 时间 WH主压力（psi） T主压力（psi） WL主压力（psi） WH备压力（psi） T备压力（psi） WL备压力（psi） 高层进气压力（psi） 高层干燥气压力（psi） 高层卸压流量（L/min） 高层干燥气流量（L/min） 高层旁路流量（L/min） 低层进气压力（psi） 低层干燥气压力（psi） 低层卸压流量（L/min） 低层干燥气流量（L/min） 低层旁路流量（L/min）
2025-01-16 22:02:20 1537.40 1420.07 1661.36 0.00 0.00 0.00 15.23 6.01 0.00 5.08 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:21 1537.40 1428.93 1665.79 0.00 0.00 0.00 16.21 4.55 0.00 5.08 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:22 1530.76 1433.35 1679.07 0.00 0.00 0.00 16.33 6.32 0.00 5.08 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:23 1537.40 1424.50 1672.43 0.00 0.00 0.00 14.68 6.56 0.00 5.06 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:24 1541.82 1422.29 1663.58 0.00 0.00 0.00 16.39 5.16 0.00 5.09 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:25 1544.04 1428.93 1676.86 0.00 0.00 0.00 16.39 6.26 0.00 5.00 0.97 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:26 1537.40 1428.93 1665.79 0.00 0.00 0.00 16.39 6.50 0.00 5.09 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:27 1539.61 1433.35 1674.65 0.00 0.00 0.00 16.39 6.56 0.00 4.93 0.98 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:28 1539.61 1424.50 1676.86 0.00 0.00 0.00 15.35 6.56 0.00 5.09 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:29 1539.61 1424.50 1672.43 0.00 0.00 0.00 14.19 6.62 0.00 5.07 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:30 1539.61 1426.71 1672.43 0.00 0.00 0.00 16.45 6.44 0.00 5.06 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:31 1537.40 1422.29 1676.86 0.00 0.00 0.00 16.45 6.44 0.00 5.08 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:32 1537.40 1426.71 1672.43 0.00 0.00 0.00 16.45 6.50 0.00 5.08 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:33 1537.40 1424.50 1670.22 0.00 0.00 0.00 15.17 6.44 0.00 5.05 0.98 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:34 1539.61 1426.71 1670.22 0.00 0.00 0.00 16.45 6.50 0.00 5.08 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:35 1528.54 1422.29 1681.29 0.00 0.00 0.00 16.21 4.67 0.00 5.05 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:36 1539.61 1426.71 1670.22 0.00 0.00 0.00 16.27 6.62 0.00 4.98 0.98 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:37 1537.40 1426.71 1663.58 0.00 0.00 0.00 16.03 4.24 0.00 5.08 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:38 1539.61 1422.29 1672.43 0.00 0.00 0.00 16.45 6.44 0.00 5.08 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:02:39 1541.82 1426.71 1674.65 0.00 0.00 0.00 16.39 6.38 0.00 5.08 0.99 0.00 0.00 0.00 0.00 0.00
